src,ref,extra_ref,Facebook_FAIR.6862,SID,raw_score,z_score,z_score_norm,raw_score_norm,annotators
Welsh AMs worried about 'looking like muppets',"Walisische Ageordnete sorgen sich ""wie Dödel auszusehen""","Walisische Abgeordnete befürchten als ,Idioten’ dazustehen.","Waliser AMs besorgt darüber, „wie Muppets auszusehen“",0,"Series([], Name: raw_score, dtype: float64)","Series([], Name: z_score, dtype: float64)","Series([], Name: z_score_norm, dtype: float64)","Series([], Name: raw_score_norm, dtype: float64)","Series([], Name: annotators, dtype: object)"
There is consternation among some AMs at a suggestion their title should change to MWPs (Member of the Welsh Parliament).,"Es herrscht Bestürzung unter einigen Mitgliedern der Versammlung über einen Vorschlag, der ihren Titel zu MWPs (Mitglied der walisischen Parlament) ändern soll.","Bei einigen AMs herrscht Fassungslosigkeit über einen Vorschlag, ihr Titel solle in MWPs (Members of the Welsh Parliament) geändert werden.","Bei einigen AMs herrscht Bestürzung über einen Vorschlag, dass ihr Titel in MWPs (Mitglied des walisischen Parlaments) geändert werden sollte.",1,96.5,0.696149795645002,0.5913109809605206,0.4104174334263008,2
It has arisen because of plans to change the name of the assembly to the Welsh Parliament.,"Der Grund dafür waren Pläne, den Namen der Nationalversammlung in Walisisches Parlament zu ändern.","Es kam wegen Plänen auf, den Namen der Versammlung zu Walisisches Parlament zu ändern.","Sie ist aufgrund von Plänen entstanden, den Namen der Versammlung in das walisische Parlament zu ändern.",2,68.0,-0.652806183424881,-1.690535130378033,-1.485172914950649,1
AMs across the political spectrum are worried it could invite ridicule.,"Mitglieder aller Parteien der Nationalversammlung haben Bedenken, dass sie sich dadurch Spott aussetzen könnten.","Assembly Members des gesamten politischen Spektrums fürchten, dass das Ganze ins Lächerliche gezogen werden könnte.","AMs im gesamten politischen Spektrum sind besorgt, dass es zum Spott einladen könnte.",3,81.5,-0.01382703544441,-0.6096606565860864,-0.5872616972984096,2
"One Labour AM said his group was concerned ""it rhymes with Twp and Pwp.""","Ein Labour-Abgeordneter sagte, dass seine Gruppe ""sich mit Twp und Pwp reimt"".","Ein Labour-Abgeordneter sagte, seine Gruppe sei darüber besorgt, dass es „sich mit Twp und Pwp reime“.","Ein Labour AM sagte, seine Gruppe sei besorgt, „es reimt sich auf Twp und Pwp“.",4,87.0,0.246497802621708,-0.16930438948566337,-0.22144601603268244,1
For readers outside of Wales: In Welsh twp means daft and pwp means poo.,Hinweis für den Leser: „twp“ im Walisischen bedeutet „bescheuert“ und „pwp“ bedeutet „Kacke“.,Für Leser außerhalb von Wales: Auf Walisisch bedeutet twp bekloppt und pwp bedeutet Scheiße.,Für Leser außerhalb von Wales: Auf Walisisch bedeutet twp dumm und pwp bedeutet poo.,5,97.0,0.719815690014649,0.6313433688787407,0.44367340445045783,2
"A Plaid AM said the group as a whole was ""not happy"" and has suggested alternatives.","Ein Versammlungsmitglied von Plaid Cymru sagte, die Gruppe als Ganzes sei ""nicht glücklich"" und hat Alternativen vorgeschlagen.","Ein Plaid-Abgeordneter sagte, dass die Gruppe als Ganzes „nicht glücklich“ sei und Alternativen vorgeschlagen habe.","Ein Plaid AM sagte, die Gruppe als Ganzes sei „nicht glücklich“ und habe Alternativen vorgeschlagen.",6,84.0,0.104502436403825,-0.4094987169949858,-0.4209818421776245,1
"A Welsh Conservative said his group was ""open minded"" about the name change, but noted it was a short verbal hop from MWP to Muppet.","Ein walisischer Konservativer sagte, seine Gruppe wäre „offen“ für eine Namensänderung, wies aber darauf hin, dass es von „MWP“ (Mitglied des Walisischen Parlaments) nur ein kurzer verbaler Sprung zu „Muppet“ ist.","Ein walisischer Konservativer sagte, dass seine Gruppe der Namensänderung „aufgeschlossen“ gegenüberstehe, fügte aber hinzu, dass es von „MWP“ zu „Muppet“ nur ein kleiner verbaler Sprung sei.","Ein walisischer Konservativer sagte, seine Gruppe stehe der Namensänderung „aufgeschlossen“ gegenüber, merkte aber an, dass es ein kurzer verbaler Sprung von MWP zu Muppet sei.",7,85.0,0.151834225143119,-0.3294339411585455,-0.3544699001293105,1
In this context The Welsh letter w is pronounced similarly to the Yorkshire English pronunciation of the letter u.,Hinweis: Der walisische Buchstabe W wird ähnlich ausgesprochen wie das U im Englischen.,In diesem Zusammenhang wird der walisische Buchstabe w ähnlich ausgesprochen wie der Buchstabe u im englischen Yorkshire-Dialekt.,In diesem Zusammenhang wird der walisische Buchstabe w ähnlich ausgesprochen wie die englische Aussprache des Buchstabens u in Yorkshire.,8,83.5,0.0808365420341785,-0.4495311049132051,-0.4542378132017815,2
"The Assembly Commission, which is currently drafting legislation to introduce the name changes, said: ""The final decision on any descriptors of what Assembly Members are called will of course be a matter for the members themselves.""","Die Kommission der Nationalversammlung, die gerade an einem Gesetzentwurf für die Namensänderungen arbeitet, sagte: „Die finale Entscheidung über die Bezeichnung der Mitglieder der Nationalversammlung liegt natürlich bei den Mitgliedern selbst.“","Die Assembly Commission, die aktuell an einem Gesetzesentwurf zur Einführung der Namensänderungen arbeitet, sagte: „Die finale Entscheidung darüber, wie die Assembly Members letztlich genannt werden sollen, obliegt natürlich den Mitgliedern selbst.“","Die Versammlungskommission, die derzeit einen Gesetzesentwurf zur Einführung der Namensänderungen ausarbeitet, sagte: „Die endgültige Entscheidung über alle Deskriptoren dessen, wie die Mitglieder der Versammlung genannt werden, wird natürlich Sache der Mitglieder selbst sein“.",9,85.0,0.151834225143119,-0.3294339411585455,-0.3544699001293105,1
