index,src,mt,ref,pe,human_score,system,doc_id,sys_doc_id,dp_runs_scores
0,"Injizieren Sie nicht die doppelte Dosis, um eine vergessene Einzeldosis nachzuholen.",Do not inject a double dose to make up for a forgotten individual dose.,Do not inject a double dose to make up for a forgotten individual dose.,Do not inject a double dose to make up for a forgotten individual dose.,0.0,smt,1,1_smt,-0.016789354383945465|-0.016497725620865822|0.00959355104714632|0.019852546975016594|0.039093710482120514
1,Zwischen der 15- und 30-mg-Dosis Lansoprazol konnte kein klinisch bedeutsamer Unterschied hinsichtlich der Vorbeugung von Ulcera nachgewiesen werden.,"Between the 15 and 30 mg dose of lansoprazole, there was no clinically significant differences in prevention of gastric ulceration associated with the vaccine has not been established.",No clinically relevant difference in ulcer prevention between the 15 and 30 mg dose of lansoprazole could be demonstrated.,"Between the 15 and 30 mg dose of lansoprazole, there was no clinically significant differences in prevention of gastric ulceration has been established.",0.2,smt,1,1_smt,0.12921427190303802|0.20077086985111237|0.1963851898908615|0.24909836053848267|0.1893254965543747
2,Bei Schizophrenie beträgt die empfohlene Anfangsdosis zum Einnehmen 10 oder 15 mg pro Tag.,"In schizophrenia, the recommended starting dose is for oral use of 10 or 15 mg per day.","For schizophrenia, the recommended starting dose is 10 or 15 mg by mouth per day.","For schizophrenia, the recommended starting dose is 10 or 15 mg by mouth per day.",0.3529411764705882,smt,1,1_smt,-0.022380540147423744|-0.022979242727160454|0.014301628805696964|0.0052197701297700405|0.030325042083859444
3,Actos 30 mg Tabletten.,Actos 30 mg tablets.,Actos 30 mg tablets.,Actos 30 mg tablets.,0.0,smt,1,1_smt,-0.050436388701200485|-0.061015211045742035|0.009108250960707664|-0.03164370730519295|0.00022969208657741547
4,"Tritanrix HepB und einem Hib-haltigen Impfstoff untersucht: An zwei dieser Studien nahmen insgesamt 1 208 Säuglinge teil, die im Alter von zwei, vier und sechs Monaten geimpft wurden.","Tritanrix HepB and Hib-haltigen vaccine been studied: Two of these studies involved a total of 208 infants who were exposed to two, four, and six months of age.","au The effects of Quintanrix have been studied in five main studies involving over 2,000 infants.","Tritanrix HepB and Hib-haltigen vaccine been studied: Two of these studies involved a total of 208 infants who were vaccinated at two, four, and six months of age.",0.0625,smt,1,1_smt,0.1971965879201889|0.2884432077407837|0.19603540003299713|0.3151276111602783|0.25227129459381104
5,Diese Gebrauchsinformation wurde zuletzt genehmigt im [ist national auzufüllen].,This leaflet was last approved in [To be auzufüllen].,This leaflet was last approved in [To be completed nationally].,This leaflet was last approved in [To be filled out].,0.1538461538461538,smt,1,1_smt,0.037697821855545044|0.0691910833120346|0.09476012736558914|0.11349628865718842|0.09652923792600632
6,Der Name Ihres Arzneimittels ist EVRA transdermales Pflaster.,The name of your medicine is EVRA transdermal patch.,The name of your medicine is EVRA transdermal patch.,The name of your medicine is EVRA transdermal patch.,0.0,smt,1,1_smt,-0.03618713468313217|-0.036149993538856506|0.010032459162175655|-0.0057068015448749065|0.02044210024178028
7,"Es ist nicht bekannt, ob Telbivudin beim Menschen in die Muttermilch übergeht.",It is not known whether telbivudine in humans is excreted in human milk.,It is not known whether telbivudine is excreted in human milk.,It is not known whether telbivudine in humans is excreted in human milk.,0.0,smt,1,1_smt,-0.037018679082393646|-0.03776394575834274|0.017274560406804085|-0.001914112363010645|0.016573196277022362
8,Eine Filmtablette enthält 20 mg Rimonabant.,Each film-coated tablet contains 20 mg of rimonabant.,One film-coated tablet contains 20 mg rimonabant.,Each film-coated tablet contains 20 mg of rimonabant.,0.0,smt,1,1_smt,-0.03975290432572365|-0.0419917106628418|0.0095663545653224|-0.013773391023278236|0.014361314475536346
9,"Daher sollte der Kliniker daran denken, dass eine Überdosierung in vielen Fällen eher Blutkonzentrationen hervorrufen wird, die innerhalb des therapeutischen Bereichs für die antimikrobielle Behandlung liegen, für die durch umfangreiches Datenmaterial die Unbedenklichkeit der Anwendung bereits gesichert ist.","Therefore, clinicians should bear in mind that overdose more likely to occur in many cases, may cause the blood concentrations are within therapeutic range for the antimicrobial treatment, the safety of the administration umfangreiches data have already been established.","Therefore clinicians should bear in mind that in many cases overdose is likely to produce blood concentrations of doxycycline within the therapeutic range for antimicrobial treatment, for which there is a large quantity of data supporting the safety of the medicinal product.","Therefore, clinicians should bear in mind that overdose are more likely to occur in many cases where the blood concentrations are within therapeutic range for the antimicrobial treatment and the safety of the administration has already been established by extensive data.",0.2325581395348837,smt,1,1_smt,0.30577170848846436|0.4130226969718933|0.3732919692993164|0.44682303071022034|0.3879954218864441
