index,src,mt,ref,pe,human_score,system,doc_id,sys_doc_id,dp_runs_scores
0,"In Acrobat, if the content that you edit or delete is associated with one layer, the content of the layer reflects the change.","V Acrobatu, pokud je obsah, který upravíte nebo odstraníte, svázaný s jednou vrstvou, obsah vrstvy, změna se projeví.","V aplikaci Acrobat, pokud je obsah, který upravíte nebo odstraníte, svázaný s jednou vrstvou, změna se projeví v obsahu této vrstvy.","V aplikaci Acrobat, pokud je obsah, který upravíte nebo odstraníte, svázaný s jednou vrstvou, změna se projeví na obsah dané vrstvy.",0.2307692307692307,smt,1,1_smt,0.1158134937286377|0.21771174669265747|0.24214810132980347|0.28574857115745544|0.22215917706489563
1,Click another stroke or filled area to apply the new attributes.,"Klepněte na jiný tah nebo vyplněnou oblast, kterou chcete aplikovat nové atributy.",Klepnutím na jiný tah nebo vyplněnou oblast aplikujte nové atributy.,"Klepněte na jiný tah nebo jinou vyplněnou oblast, chcete-li použít nové atributy.",0.2857142857142857,smt,1,1_smt,0.050201643258333206|0.13445602357387543|0.1546124815940857|0.17695680260658264|0.15450435876846313
2,The text area is then resized within the remaining area; there are no fixed-size elements in a TextArea component.,Textová oblast se pak změní velikost ve zbytkové oblasti; neexistují žádné fixed-size prvkům v souboru komponenta TextArea.,Velikost textové oblasti se pak upraví v rámci zbývající oblasti. Komponenta TextArea neobsahuje žádné prvky o pevné velikosti.,Textová oblast pak změní velikost ve zbytkové oblasti; v komponentě TextArea neexistují žádné prvky s pevně nastavenou velikostí.,0.5,smt,1,1_smt,0.28982916474342346|0.4245951473712921|0.41269731521606445|0.44390445947647095|0.38403624296188354
3,"To clip overlay to the brush size, enable the Clipped option.","Chcete-li překrytí oříznout na velikost štětce, povolte možnost oříznuté.","Chcete-li oříznout překrytí na velikost štětce, povolte možnost Oříznuté.","Chcete-li oříznout překrytí na velikost štětce, aktivujte volbu Oříznuto.",0.3636363636363636,smt,1,1_smt,0.01367882452905178|0.058672964572906494|0.05562656372785568|0.13393208384513855|0.10647119581699371
4,Right-click the Adobe Bridge icon in the system tray and choose Show Bridge to open the application.,Right-click ikonu Adobe Bridge na hlavním panelu a zvolte zobrazit Bridge aplikace.,Klepněte pravým tlačítkem myši na ikonu Adobe Bridge na hlavním systémovém panelu a vyberte možnost Zobrazit aplikaci Bridge. Tím se aplikace otevře.,Klikněte pravým tlačítkem na ikonu Adobe Bridge na hlavním panelu a spusťte aplikaci výběrem možnosti Zobrazit Bridge.,0.5,smt,1,1_smt,0.1576288789510727|0.2968326210975647|0.271207332611084|0.30942007899284363|0.2789166569709778
5,"In the Conditional Text panel, double-click a condition, or select a condition and choose Condition Options from the panel menu.","V panelu podmíněný text, double-click podmínku, nebo vyberte podmínku podmínka a zvolte volby z nabídky panelu.","V panelu Podmíněný text poklepejte na podmínku, nebo vyberte podmínku a zvolte Volby podmínek z nabídky panelu.",V panelu Podmíněný text dvakrát klikněte na podmínku nebo vyberte podmínku a zvolte možnost Nastavení podmínky z nabídky panelu.,0.4,smt,1,1_smt,0.21233715116977692|0.33220890164375305|0.15648873150348663|0.3679121434688568|0.2745285928249359
6,"When you use the Lasso tool and its Polygon Mode modifier, you can switch between the freehand and straight-edged selection modes.",Když použijete nástroj laso a jeho mnohoúhelníkový režim modifikátoru můžete přepínat mezi čáry od ruky straight-edged režimy výběru.,"Při použití nástroje laso s modifikátorem Mnohoúhelníkový režim můžete přepínat mezi dvěma režimy výběru: s hranicemi kreslenými od ruky, nebo s hranicemi tvořenými rovnými úseky.",Při použití nástroje Laso s modifikátorem Mnohoúhelníkový režim můžete přepínat mezi dvěma režimy výběru: s hranicemi kreslenými od ruky nebo s hranicemi rovných úseků.,0.6538461538461539,smt,1,1_smt,0.29994386434555054|0.44066548347473145|0.5282539129257202|0.48006099462509155|0.4020242393016815
7,You can embed an audit trail only if you used a profile to run the preflight inspection.,"Můžete vložit audit pouze v případě, že jste použít profil, který se má spustit kontrolu před výstupem.","Protokol auditu lze vložit, pouze pokud jste kontrolu před výstupem spustili pomocí profilu.","Můžete vložit stopu auditu pouze v případě, že jste ke spuštění předvýstupní kontroly použili profil.",0.7058823529411765,smt,1,1_smt,0.3895714282989502|0.511765718460083|0.5237386226654053|0.5275466442108154|0.4648999571800232
8,This interface defines the common functionality that the FilterWorkbenchController class uses to interact with the individual filter factory classes.,"Toto rozhraní definuje třída FilterWorkbenchController společné funkčnosti, která používá pro interakci s jednotlivými třídy rodiny filtru.","Toto rozhranní definuje společné funkce, které třída FilterWorkbenchController používá pro interakci s jednotlivými třídami rodiny filtrů.","Toto rozhraní definuje společné funkce, které používá třída FilterWorkbenchController k interakci s jednotlivými třídami továrny filtrů.",0.3888888888888889,smt,1,1_smt,0.19627057015895844|0.31171417236328125|0.24128633737564087|0.33814138174057007|0.28823521733283997
9,(Optional) Specify render options:,(Volitelně) určete vykreslovat volby:,(Volitelně) Určete volby vykreslení:,(Volitelně) Určete volby vykreslování:,0.2857142857142857,smt,1,1_smt,0.1524033397436142|0.28185248374938965|0.12866510450839996|0.3371101915836334|0.27309343218803406
