index,src,mt,ref,pe,human_score,system,doc_id,sys_doc_id,dp_runs_scores
0,"Expand the WAR file in your working directory, using the following command:",Dekomprimieren Sie die WAR-Datei im Arbeitsverzeichnis mit dem folgenden Befehl:,"Dekomprimieren Sie die WAR-Datei im Arbeitsverzeichnis, indem Sie folgenden Befehl eingeben:",Dekomprimieren Sie die WAR-Datei im Arbeitsverzeichnis mit dem folgenden Befehl:,0.0,nmt,1,1_nmt,-0.046341996639966965|-0.02428346686065197|0.01742611639201641|0.005288771819323301|0.024918684735894203
1,You cannot use the BitmapData.draw () method to access RTMP video.,Zum Zugriff auf RTMP-Video kann die Methode BitmapData.draw () nicht verwendet werden.,Mit der BitmapData.draw () -Methode können Sie nicht auf RTMP-Video zugreifen.,Zum Zugriff auf RTMP-Video kann die Methode BitmapData.draw () nicht verwendet werden.,0.0,nmt,1,1_nmt,0.0428655669093132|0.08040177822113037|0.031445469707250595|0.13436563313007355|0.08759551495313644
2,"The line in the preview window defines the light direction and angle, and the handles define the edges of the ellipse.",Die Linie im Vorschaufenster definiert die Richtung und den Winkel der Lichtquelle und die Griffe definieren die Kanten der Ellipse.,"Die Linie im Vorschaufenster definiert Lichtrichtung und -winkel, die Griffe definieren die Kanten der Ellipse.","Die Linie im Vorschaufenster definiert die Richtung und den Winkel der Lichtquelle, und die Griffe definieren die Kanten der Ellipse.",0.0454545454545454,nmt,1,1_nmt,-0.017975009977817535|-1.6013160347938538e-05|0.027940863743424416|0.040925730019807816|0.05188300460577011
3,"For more information, see Edit a web page or blog from your browser.",Weitere Informationen finden Sie unter Bearbeiten von Webseiten oder Blogs im Browser.,Weitere Informationen finden Sie unter Bearbeiten von Webseiten oder Blogeinträgen vom Browser aus.,"Weitere Informationen finden Sie unter ""Bearbeiten von Webseiten oder Blogs im Browser"".",0.1333333333333333,nmt,1,1_nmt,0.010770121589303017|0.031123900786042213|0.05465514957904816|0.07902391254901886|0.07211384922266006
4,Select a keyframe in the timeline.,Wählen Sie in der Zeitleiste ein Schlüsselbild aus.,Wählen Sie in der Zeitleiste ein Schlüsselbild aus.,Wählen Sie in der Zeitleiste ein Schlüsselbild aus.,0.0,nmt,1,1_nmt,-0.07063257694244385|-0.07504043728113174|0.008822886273264885|-0.036017343401908875|-0.0020720455795526505
5,"When you publish your draft (the blog entry where you inserted the link), Contribute also publishes the new blog entry.","Wenn Sie den Entwurf veröffentlichen (der Blogeintrag, in dem Sie den Hyperlink eingefügt haben), veröffentlicht Contribute den neuen Blogeintrag auch.","Wenn Sie den Entwurf veröffentlichen (den Blogeintrag, in den Sie den Hyperlink eingefügt haben), veröffentlicht Contribute auch den neuen Blogeintrag.","Wenn Sie den Entwurf veröffentlichen (der Blogeintrag, in den Sie den Hyperlink eingefügt haben), veröffentlicht Contribute den neuen Blogeintrag auch.",0.04,nmt,1,1_nmt,-0.035576868802309036|-0.023468969389796257|0.026326540857553482|0.005425383802503347|0.03356154263019562
6,Attributes provide metadata information about an element.,Attribute enthalten Metadaten zu einem Element.,Attribute speichern Metadateninformationen zu Elementen.,Attribute enthalten Metadaten zu einem Element.,0.0,nmt,1,1_nmt,0.10893754661083221|0.1694008708000183|0.06135052070021629|0.22213074564933777|0.17360493540763855
7,Click the Add a Layer Style icon at the bottom of the Layers panel and choose an effect from the list.,"Klicken Sie am unteren Rand des Ebenenbedienfelds auf das Symbol ""Ebenenstil hinzufügen"" und wählen Sie einen Effekt aus der Liste aus.","Klicken Sie unten im Ebenenbedienfeld auf das Symbol ""Ebenenstil hinzufügen"" und wählen Sie einen Effekt aus der Liste.","Klicken Sie am unteren Rand des Ebenenbedienfelds auf das Symbol ""Ebenenstil hinzufügen"" und wählen Sie einen Effekt aus der Liste aus.",0.0,nmt,1,1_nmt,-0.05700521171092987|-0.04064533859491348|0.011012183502316475|-0.011768298223614693|0.013429630547761917
8,"To temporarily override switching, hold down Shift as you position the Pen tool over the selected path or an anchor point.","Wenn Sie die Änderungen vorübergehend außer Kraft setzen möchten, halten Sie die Umschalttaste gedrückt, während Sie das Stiftwerkzeug über dem ausgewählten Pfad oder Ankerpunkt positionieren.","Wenn Sie die Umschaltung vorübergehend außer Kraft setzen möchten, halten Sie die Umschalttaste gedrückt, während Sie das Zeichenstift-Werkzeug über dem ausgewählten Pfad oder einem Ankerpunkt positionieren.","Wenn Sie die Änderungen vorübergehend außer Kraft setzen möchten, halten Sie die Umschalttaste gedrückt, während Sie das Stiftwerkzeug über dem ausgewählten Pfad oder Ankerpunkt positionieren.",0.0,nmt,1,1_nmt,-0.04741929844021797|-0.020099153742194176|0.015434445813298225|0.005483938846737146|0.02660580910742283
9,"An array of key-value pairs that represent the information in the ""ilst"" atom, which is the equivalent of ID3 tags for MP4 files.","Ein Array mit Schlüssel-Wert-Paaren, die die Informationen im ""pc-"" Atom"" darstellen. Dies entspricht den ID3-Tags für MP4-Dateien.","Ein Array von Schlüssel-Wert-Paaren, die die Informationen im ""ilst""-Atom darstellen (entspricht bei MP4-Dateien den ID3-Tags).","Ein Array mit Schlüssel-Wert-Paaren, die die Informationen im ""ilst"" Atom darstellen. Dies entspricht den ID3-Tags für MP4-Dateien.",0.0909090909090909,nmt,1,1_nmt,0.07071404904127121|0.1479630470275879|0.09028764814138412|0.16342933475971222|0.12523473799228668
10,Specify transition styles and speed.,Legen Sie die Übergangseformate und die Geschwindigkeit fest.,In diesem Bereich können Sie die Stile und die Geschwindigkeit von Übergängen festlegen.,Legen Sie die Übergangsformate und -geschwindigkeit fest.,0.375,nmt,1,1_nmt,0.0649571493268013|0.17502839863300323|0.1150798425078392|0.2154371738433838|0.1566213071346283
11,"Draws without lighting, instead displaying only the selected Texture option.","Zeichnet ohne Beleuchtung, sondern nur die ausgewählte Texturoption.",Objekte werden ohne Beleuchtung gezeichnet. Es wird nur die ausgewählte Texturoption angezeigt.,"Zeichnet ohne Beleuchtung, es wird nur die ausgewählte Texturoption angezeigt.",0.25,nmt,1,1_nmt,0.10687784850597382|0.2143426537513733|0.08621721714735031|0.23401805758476257|0.19135038554668427
12,Cineon and JPEG 2000 are supported if the plug‑ins are installed.,"Cineon und JPEG 2000 werden unterstützt, wenn Zusatzmodule installiert sind.","Cineon und JPEG 2000 werden unterstützt, wenn die entsprechenden Zusatzmodule installiert sind.","Cineon und JPEG 2000 werden unterstützt, wenn die entsprechenden Zusatzmodule installiert sind.",0.1428571428571428,nmt,1,1_nmt,-0.022116277366876602|-0.0034810882061719894|0.02738790586590767|0.024288354441523552|0.04057052731513977
13,"You can apply multiple filters, turn on or off the effect of a filter, reset options for a filter, and change the order in which filters are applied.","Sie können mehrere Filter anwenden, den Effekt eines Filters aktivieren oder deaktivieren, Optionen für einen Filter zurücksetzen und die Reihenfolge ändern, in der Filter angewendet werden.","Sie können mehrere Filter anwenden, den Effekt eines Filters aktivieren oder deaktivieren, die Optionen für einen Filter zurückzusetzen und die Reihenfolge, in der die Filter angewendet werden, ändern.","Sie können mehrere Filter anwenden, den Effekt eines Filters aktivieren oder deaktivieren, Optionen für einen Filter zurücksetzen und die Reihenfolge ändern, in der Filter angewendet werden.",0.0,nmt,1,1_nmt,-0.019726991653442383|0.007359752431511879|0.018841378390789032|0.026885101571679115|0.0473998561501503
14,Click Repair All.,"Klicken Sie auf ""Alle reparieren.""","Klicken Sie auf ""Alle reparieren.""","Klicken Sie auf ""Alle reparieren"".",0.0,nmt,1,1_nmt,-0.05571883171796799|-0.0619237944483757|0.01208045706152916|-0.02424205280840397|0.0011157114058732986
15,The sizing behavior of the UILoader component is controlled by the scaleContent property.,Das Größenanpassungsverhalten der UILoader-Komponente wird über die Eigenschaft scaleInhalt gesteuert.,Das Größenverhalten der UILoader-Komponente wird von der Eigenschaft scaleContent gesteuert.,Das Größenanpassungsverhalten der UILoader-Komponente wird über die Eigenschaft scaleContent gesteuert.,0.0909090909090909,nmt,1,1_nmt,0.010324735194444656|0.06452035158872604|0.02504134364426136|0.10491596162319183|0.09995651990175247
16,"From the options menu in the Comments list, choose Export Selected Comments.","Wählen Sie in der Kommentarliste im Menü ""Optionen"" den Befehl ""Ausgewählte Kommentare exportieren.""","Wählen Sie im Menü ""Optionen"" in der Kommentarliste den Befehl ""Ausgewählte Kommentare exportieren.""","Wählen Sie in der Kommentarliste im Menü ""Optionen"" den Befehl ""Ausgewählte Kommentare exportieren"".",0.0,nmt,1,1_nmt,-0.07133699208498001|-0.07333790510892868|0.010035996325314045|-0.03558410331606865|-0.004659274592995644
17,ActionScript 2.0 has an Error class that allows you to build logic into custom functions to throw an exception with a specific message.,"ActionScript 2.0 verfügt über eine Error-Klasse, mit der Sie Code in benutzerdefinierte Funktionen erstellen können, um eine Ausnahme in eine bestimmte Meldung zu erzeugen.","ActionScript 2.0 verfügt über eine Error-Klasse, mit der Sie entsprechende Programmlogik als benutzerdefinierte Funktionen erstellen können, die Ausnahmen mit einer speziellen Meldung auslösen.","ActionScript 2.0 verfügt über eine Error-Klasse, mit der Sie Programmlogik als benutzerdefinierte Funktionen erstellen können, um eine Ausnahme mit einer bestimmten Meldung zu erzeugen.",0.1851851851851851,nmt,1,1_nmt,0.032756928354501724|0.122974693775177|0.16594372689723969|0.13216988742351532|0.10643357038497925
18,Choose Paragraph Rules from the Paragraph panel menu or Control panel menu.,"Wählen Sie im Menü des Absatzbedienfelds oder des Steuerungsbedienfelds die Option ""Absatzegeln.""","Wählen Sie im Menü des Zeichenbedienfelds oder des Steuerungsbedienfelds die Option ""Absatzlinien.""","Wählen Sie im Menü des Absatzbedienfelds oder des Steuerungsbedienfelds die Option ""Absatzegeln"".",0.0,nmt,1,1_nmt,-0.04073287174105644|-0.008778499439358711|0.02543729357421398|0.02232597954571247|0.04045732319355011
19,Close and reopen Contribute after creating a blog using the blog publishing service.,"Schließen Sie Contribute und öffnen Sie es erneut, nachdem Sie ein Blog mit dem Blog-Veröffentlichungsdienst erstellt haben.","Nachdem Sie ein Blog mit dem Blogveröffentlichungsdienst erstellt haben, müssen Sie Contribute beenden und neu starten.","Schließen Sie Contribute und öffnen Sie es erneut, nachdem Sie ein Blog mit dem Blog-Veröffentlichungsdienst erstellt haben.",0.0,nmt,1,1_nmt,0.046535663306713104|0.1253633052110672|0.059842366725206375|0.14903494715690613|0.11865941435098648
20,"To set the width and height of the bevel, set the Blur X and Y values.","Stellen Sie Werte für ""Weichzeichnen X"" und ""Weichzeichnen Y"" ein, um Breite und Höhe der geschliffenen Kante festzulegen.","Stellen Sie Werte für ""Weichzeichnen X"" und ""Weichzeichnen Y"" ein, um die Breite und Höhe des Filters ""Geschliffen"" einzustellen.","Stellen Sie Werte für ""Weichzeichnen X"" und ""Weichzeichnen Y"" ein, um Breite und Höhe des Filters ""Geschliffen"" festzulegen.",0.1923076923076923,nmt,1,1_nmt,-0.03238038718700409|0.005870983004570007|0.025092914700508118|0.02358245477080345|0.0430980920791626
21,Click the Fill or Stroke box in the Swatches panel or the Toolbox.,"Klicken Sie im Farbfeldbedienfeld oder in der Toolbox auf das Feld ""Fläche"" oder ""Kontur"".","Klicken Sie im Farbfeldbedienfeld oder in der Toolbox auf das Feld ""Fläche"" oder ""Kontur.""","Klicken Sie im Farbfeldbedienfeld oder in der Toolbox auf das Feld ""Fläche"" oder ""Kontur"".",0.0,nmt,1,1_nmt,-0.05569211766123772|-0.05576945096254349|0.00973991584032774|-0.0195835642516613|0.010122202336788177
22,"Select the Adobe InDesign document or documents you want to add, and then click Open.","Wählen Sie das Adobe InDesign-Dokument oder die Dokumente aus, die bzw. das Sie hinzufügen möchten, und klicken Sie auf ""Öffnen.""","Wählen Sie das bzw. die Adobe InDesign-Dokumente aus, die Sie hinzufügen möchten, und klicken Sie auf ""Öffnen.""","Wählen Sie die Adobe InDesign-Dokumente aus, die Sie hinzufügen möchten, und klicken Sie auf ""Öffnen"".",0.35,nmt,1,1_nmt,-0.018027951940894127|-0.01035640574991703|0.02072725258767605|0.021792445331811905|0.03679913282394409
23,"In addition, you can set the page alignment and specify a repeating background image.",Außerdem können Sie die Ausrichtung der Seite festlegen und ein sich wiederholendes Hintergrundbild festlegen.,Darüber hinaus können Sie die Seitenausrichtung festlegen und ein wiederholendes Hintergrundbild angeben.,Außerdem können Sie die Ausrichtung der Seite festlegen und ein sich wiederholendes Hintergrundbild festlegen.,0.0,nmt,1,1_nmt,-0.030024176463484764|0.007043533027172089|0.02224764972925186|0.03523733466863632|0.04702955484390259
24,"In the Layers panel, select the layers you want for the animation, and choose Make Frames From Layers from the Animation panel menu.","Wählen Sie im Ebenenbedienfeld die gewünschten Ebenen für die Animation aus und wählen Sie im Menü des Animationsbedienfelds die Option ""Frames aus Ebenen erstellen.""","Wählen Sie im Ebenenbedienfeld die gewünschten Ebenen für die Animation aus und wählen Sie im Menü des Animationsbedienfelds die Option ""Frames aus Ebenen erstellen.""","Wählen Sie im Ebenenbedienfeld die gewünschten Ebenen für die Animation aus und wählen Sie im Menü des Animationsbedienfelds die Option ""Frames aus Ebenen erstellen"".",0.0,nmt,1,1_nmt,-0.07184022665023804|-0.06804174929857254|0.010432850569486618|-0.03464286029338837|0.0006582643836736679
25,n. Works with the debug version of Flash player to check code for ActionScript syntax and logical errors.,"n. Funktioniert mit der Debug-Version von Flash Player, um Code für die ActionScript-Syntax und die logischen Fehler zu überprüfen.","n. Arbeitet zusammen mit der Debug-Version des Flash-Players, um den ActionScript-Code auf Syntax- und Logikfehler zu überprüfen.","n. Funktioniert mit der Debug-Version von Flash Player, um Code für die ActionScript-Syntax und die logischen Fehler zu überprüfen.",0.0,nmt,1,1_nmt,0.05778925120830536|0.13843053579330444|0.1314241737127304|0.14812500774860382|0.1130627766251564
26,"Select Commands > Create AIR Package, and click Preview.","Wählen Sie ""Befehle"" > ""AIR-Paket erstellen"" und klicken Sie auf ""Vorschau.""","Wählen Sie ""Befehle"" > ""AIR-Paket erstellen"" und klicken Sie auf ""Vorschau.""","Wählen Sie ""Befehle"" > ""AIR-Paket erstellen"" und klicken Sie auf ""Vorschau"".",0.0,nmt,1,1_nmt,-0.06169598177075386|-0.07040376961231232|0.009307611733675003|-0.038698598742485046|-0.006646187976002693
27,The Rollback feature is only available if your Contribute administrator enabled it.,"Die Funktion ""Zurück zu früherer Version"" ist nur verfügbar, wenn der Contribute-Administrator sie aktiviert hat.","Diese Funktion ist nur verfügbar, wenn der Contribute-Administrator sie aktiviert hat.","Die Funktion ""Zurück zu früherer Version"" ist nur verfügbar, wenn der Contribute-Administrator sie aktiviert hat.",0.0,nmt,1,1_nmt,-0.006605817936360836|0.030863836407661438|0.03489934280514717|0.05436353757977486|0.05486296862363815
28,Select Window > Properties > Properties.,"Wählen Sie ""Fenster"" > ""Eigenschaften"" > ""Eigenschaften.""","Wählen Sie ""Fenster"" > ""Eigenschaften"" > ""Eigenschaften.""","Wählen Sie ""Fenster"" > ""Eigenschaften"" > ""Eigenschaften"".",0.0,nmt,1,1_nmt,-0.07353481650352478|-0.08903082460165024|0.009476711973547935|-0.047059930860996246|-0.01167290285229683
