index,src,mt,ref,pe,human_score,system,doc_id,sys_doc_id,dp_runs_scores
0,"Excipients: Sodium hydroxide, glacial acetic acid, sorbitol, polysorbate 80, water for injections.","Palīgvielas: nātrija hidroksīds, ledus etiķskābe, sorbīts, polisorbāts 80, ūdens injekcijām.","Palīgvielas: nātrija hidroksīds, ledus etiķskābe, sorbīts, polisorbāts 80, ūdens injekcijām.","Palīgvielas: nātrija hidroksīds, ledus etiķskābe, sorbīts, polisorbāts 80, ūdens injekcijām.",0.0,nmt,1,1_nmt,-0.05800614878535271|-0.04112289100885391|0.012140066362917423|-0.0037900367751717567|0.029946450144052505
1,"There are no differences in the pharmacokinetics of aripiprazole between healthy elderly and younger adult subjects, nor is there any detectable effect of age in a population pharmacokinetic analysis in schizophrenic patients.","Aripiprazola farmakokinētika nav pētīta veseliem gados vecākiem un jaunākiem pieaugušiem cilvēkiem, ne klīniskā nozīme populācijas farmakokinētikas analīzē šizofrēnijas slimniekiem.","Aripiprazola farmakokinētikā nav atšķirības starp veseliem vecāka gadagājuma cilvēkiem un jauniem pieaugušajiem, nav atklāta vecuma ietekme arī populācijas farmakokinētikas analīzē šizofrēnijas slimniekiem.","Aripiprazola farmakokinētika nav pētīta veseliem gados vecākiem un jaunākiem pieaugušiem pacientiem, nav novērota arī iedarbības atšķirība pa vecuma grupām šizofrēnijas slimnieku populācijas farmakokinētikas analīzē.",0.4615384615384615,nmt,1,1_nmt,0.10682768374681473|0.24017637968063354|0.19490163028240204|0.2819287180900574|0.24611395597457886
2,"No dose adjustment is necessary based on gender, race, or body mass index (BMI).","Devas pielāgošana, pamatojoties uz dzimumu, rasi vai ķermeņa masas indeksu (ĶMI).","Vecuma, rases vai ķermeņa masas indeksa (ĶMI) dēļ devas pielāgošana nav nepieciešama.","Devas pielāgošana, pamatojoties uz dzimumu, rasi vai ķermeņa masas indeksu (ĶMI), nav nepieciešama.",0.1578947368421052,nmt,1,1_nmt,0.014187481254339218|0.08420468121767044|0.12750361859798431|0.11026015132665634|0.10854469984769821
3,It is important to maintain good oral hygiene when being treated with ADROVANCE.,Ārstēšanas ar ADROVANCE gadījumā ir svarīgi uzturēt labu mutes dobuma higiēnu.,Lietojot terapijā ADROVANCE ir svarīgi uzturēt labu mutes dobuma higiēnu.,Ārstēšanas ar ADROVANCE gadījumā ir svarīgi uzturēt labu mutes dobuma higiēnu.,0.0,nmt,1,1_nmt,-0.01299794390797615|0.02626056782901287|0.023932522162795067|0.08152894675731659|0.10500718653202057
4,Caelyx should not be used in people who may be hypersensitive (allergic) to doxorubicin hydrochloride or any of the other ingredients.,Caelyx nedrīkst lietot cilvēki ar paaugstinātu jutību (alerģiju) pret doksorubicīna hidrohlorīdu vai kādu citu šo zāļu sastāvdaļu.,Caelyx nedrīkst lietot cilvēki ar paaugstinātu jutību (alerģiju) pret doksorubicīna hidrohlorīdu vai kādu citu šo zāļu sastāvdaļu.,Caelyx nedrīkst lietot cilvēki ar paaugstinātu jutību (alerģiju) pret doksorubicīna hidrohlorīdu vai kādu citu šo zāļu sastāvdaļu.,0.0,nmt,1,1_nmt,-0.06766166538000107|-0.05148839205503464|0.010683169588446617|-0.013135509565472603|0.013781178742647171
5,What you need to know before you receive Focetria,Kas Jums jāzina pirms Focetria lietošanas,Kas jāzina pirms vakcinēšanās ar Focetria,Kas Jums jāzina pirms Focetria lietošanas,0.0,nmt,1,1_nmt,-0.018813831731677055|0.028503598645329475|0.04283919185400009|0.07517458498477936|0.07634013891220093
6,Aclasta is also used in patients who have recently broken their hip in a minor trauma such as a fall and therefore are at risk of subsequent bone breaks.,"Aclasta lieto arī pacientiem, kuriem nesen veikta gūžas locītavas operācija, piemēram, kritums, un tādēļ pastāv turpmāko kaulu lūzumu risks.","Aclasta lieto arī pacientiem, kuriem nesen nelielas traumas (piemēram, kritiena) rezultātā bijis gūžas kaula lūzums, un tādēļ pastāv palielināts atkārtotu kaulu lūzumu risks.","Aclasta lieto arī pacientiem, kuriem nesen vieglas traumas, piemēram, kritiena dēļ radies gūžas lūzums un tādēļ pastāv turpmāku kaulu lūzumu risks.",0.36,nmt,1,1_nmt,0.037163469940423965|0.12054970860481262|0.0865866094827652|0.1544191837310791|0.13952410221099854
7,Studies in healthy volunteers and patients with diabetes demonstrated that insulin glulisine is more rapid in onset of action and of shorter duration of action than regular human insulin when given subcutaneously.,"Pētījumi veseliem brīvprātīgajiem un cukura diabēta slimniekiem parādīja, ka glulizīna insulīns ir straujāk straujam darbības sākums un īslaicīgāka darbības ilgums nekā regulārajam cilvēka insulīnam, ja to ievada subkutāni.","Pētījumi veseliem brīvprātīgajiem un cukura diabēta pacientiem rāda, ka glulizīna insulīnam ir ātrāks darbības sākums un īslaicīgāka darbība nekā regulārajam cilvēka insulīnam, ja to ievada subkutāni.","Pētījumi veseliem brīvprātīgajiem un cukura diabēta slimniekiem parādīja, ka glulizīna insulīns iedarbojas ātrāk un tam ir īsāks darbības ilgums nekā parastajam cilvēka insulīnam, ja to ievada subkutāni.",0.2666666666666666,nmt,1,1_nmt,0.10290602594614029|0.21405188739299774|0.10767804086208344|0.26271891593933105|0.23359760642051697
8,The product may contain traces of hamster proteins (see Do not take BeneFIX).,Produkts var saturēt nelielu daudzumu kāmju olbaltumu (skatīt Nelietojiet BeneFIX).,Zāles var saturēt nelielu daudzumu kāmja olbaltumvielu (skatīt sadaļu „Nelietojiet BeneFIX šādos gadījumos”).,Produkts var saturēt nelielu daudzumu kāmju olbaltumu (skatīt sadaļu Nelietojiet BeneFIX).,0.0714285714285714,nmt,1,1_nmt,-0.029442910104990005|0.013670322485268116|0.03081994131207466|0.02615768276154995|0.049456603825092316
9,MabCampath is given as an infusion lasting about two hours.,MabCampath ievada ar divu stundu ilgas infūzijas veidā.,MabCampath ievada ar apmēram divu stundu ilgu infūziju.,MabCampath ievada divu stundu ilgas infūzijas veidā.,0.125,nmt,1,1_nmt,-0.005356305278837681|0.07374154776334763|0.08638090640306473|0.13154800236225128|0.11573993414640427
