index,src,mt,ref,dp_runs_scores,pe,lp,human_score,system,doc_id,sys_doc_id
0,"Injizieren Sie nicht die doppelte Dosis, um eine vergessene Einzeldosis nachzuholen.",Do not inject a double dose to make up for a forgotten individual dose.,Do not inject a double dose to make up for a forgotten individual dose.,[0.00959355104714632],Do not inject a double dose to make up for a forgotten individual dose.,de-en,0.0,smt,1,1_smt
1,Zwischen der 15- und 30-mg-Dosis Lansoprazol konnte kein klinisch bedeutsamer Unterschied hinsichtlich der Vorbeugung von Ulcera nachgewiesen werden.,"Between the 15 and 30 mg dose of lansoprazole, there was no clinically significant differences in prevention of gastric ulceration associated with the vaccine has not been established.",No clinically relevant difference in ulcer prevention between the 15 and 30 mg dose of lansoprazole could be demonstrated.,[0.1963851898908615],"Between the 15 and 30 mg dose of lansoprazole, there was no clinically significant differences in prevention of gastric ulceration has been established.",de-en,0.2,smt,1,1_smt
2,Bei Schizophrenie beträgt die empfohlene Anfangsdosis zum Einnehmen 10 oder 15 mg pro Tag.,"In schizophrenia, the recommended starting dose is for oral use of 10 or 15 mg per day.","For schizophrenia, the recommended starting dose is 10 or 15 mg by mouth per day.",[0.014301628805696964],"For schizophrenia, the recommended starting dose is 10 or 15 mg by mouth per day.",de-en,0.3529411764705882,smt,1,1_smt
3,Actos 30 mg Tabletten.,Actos 30 mg tablets.,Actos 30 mg tablets.,[0.009108250960707664],Actos 30 mg tablets.,de-en,0.0,smt,1,1_smt
4,"Tritanrix HepB und einem Hib-haltigen Impfstoff untersucht: An zwei dieser Studien nahmen insgesamt 1 208 Säuglinge teil, die im Alter von zwei, vier und sechs Monaten geimpft wurden.","Tritanrix HepB and Hib-haltigen vaccine been studied: Two of these studies involved a total of 208 infants who were exposed to two, four, and six months of age.","au The effects of Quintanrix have been studied in five main studies involving over 2,000 infants.",[0.19603540003299713],"Tritanrix HepB and Hib-haltigen vaccine been studied: Two of these studies involved a total of 208 infants who were vaccinated at two, four, and six months of age.",de-en,0.0625,smt,1,1_smt
5,Diese Gebrauchsinformation wurde zuletzt genehmigt im [ist national auzufüllen].,This leaflet was last approved in [To be auzufüllen].,This leaflet was last approved in [To be completed nationally].,[0.09476012736558914],This leaflet was last approved in [To be filled out].,de-en,0.1538461538461538,smt,1,1_smt
6,Der Name Ihres Arzneimittels ist EVRA transdermales Pflaster.,The name of your medicine is EVRA transdermal patch.,The name of your medicine is EVRA transdermal patch.,[0.010032459162175655],The name of your medicine is EVRA transdermal patch.,de-en,0.0,smt,1,1_smt
7,"Es ist nicht bekannt, ob Telbivudin beim Menschen in die Muttermilch übergeht.",It is not known whether telbivudine in humans is excreted in human milk.,It is not known whether telbivudine is excreted in human milk.,[0.017274560406804085],It is not known whether telbivudine in humans is excreted in human milk.,de-en,0.0,smt,1,1_smt
8,Eine Filmtablette enthält 20 mg Rimonabant.,Each film-coated tablet contains 20 mg of rimonabant.,One film-coated tablet contains 20 mg rimonabant.,[0.0095663545653224],Each film-coated tablet contains 20 mg of rimonabant.,de-en,0.0,smt,1,1_smt
9,"Daher sollte der Kliniker daran denken, dass eine Überdosierung in vielen Fällen eher Blutkonzentrationen hervorrufen wird, die innerhalb des therapeutischen Bereichs für die antimikrobielle Behandlung liegen, für die durch umfangreiches Datenmaterial die Unbedenklichkeit der Anwendung bereits gesichert ist.","Therefore, clinicians should bear in mind that overdose more likely to occur in many cases, may cause the blood concentrations are within therapeutic range for the antimicrobial treatment, the safety of the administration umfangreiches data have already been established.","Therefore clinicians should bear in mind that in many cases overdose is likely to produce blood concentrations of doxycycline within the therapeutic range for antimicrobial treatment, for which there is a large quantity of data supporting the safety of the medicinal product.",[0.3732919692993164],"Therefore, clinicians should bear in mind that overdose are more likely to occur in many cases where the blood concentrations are within therapeutic range for the antimicrobial treatment and the safety of the administration has already been established by extensive data.",de-en,0.2325581395348837,smt,1,1_smt
10,Wie wird Firazyr angewendet?,How is Firazyr used?,How is Firazyr used?,[0.008234567940235138],How is Firazyr used?,de-en,0.0,smt,1,1_smt
11,Der Anteil der betroffenen Patienten nimmt mit weiteren Infusionen ab.,The proportion of affected patients decreases with subsequent infusions.,The proportion of affected patients decreases with subsequent infusions.,[0.009633907116949558],The proportion of affected patients decreases with subsequent infusions.,de-en,0.0,smt,1,1_smt
