index,src,mt,ref,dp_runs_scores,pe,lp,human_score,system,doc_id,sys_doc_id
0,"In Acrobat, if the content that you edit or delete is associated with one layer, the content of the layer reflects the change.","V Acrobatu, pokud je obsah, který upravíte nebo odstraníte, svázaný s jednou vrstvou, obsah vrstvy, změna se projeví.","V aplikaci Acrobat, pokud je obsah, který upravíte nebo odstraníte, svázaný s jednou vrstvou, změna se projeví v obsahu této vrstvy.",[0.24214810132980347],"V aplikaci Acrobat, pokud je obsah, který upravíte nebo odstraníte, svázaný s jednou vrstvou, změna se projeví na obsah dané vrstvy.",en-cs,0.2307692307692307,smt,1,1_smt
1,Click another stroke or filled area to apply the new attributes.,"Klepněte na jiný tah nebo vyplněnou oblast, kterou chcete aplikovat nové atributy.",Klepnutím na jiný tah nebo vyplněnou oblast aplikujte nové atributy.,[0.1546124815940857],"Klepněte na jiný tah nebo jinou vyplněnou oblast, chcete-li použít nové atributy.",en-cs,0.2857142857142857,smt,1,1_smt
2,The text area is then resized within the remaining area; there are no fixed-size elements in a TextArea component.,Textová oblast se pak změní velikost ve zbytkové oblasti; neexistují žádné fixed-size prvkům v souboru komponenta TextArea.,Velikost textové oblasti se pak upraví v rámci zbývající oblasti. Komponenta TextArea neobsahuje žádné prvky o pevné velikosti.,[0.41269731521606445],Textová oblast pak změní velikost ve zbytkové oblasti; v komponentě TextArea neexistují žádné prvky s pevně nastavenou velikostí.,en-cs,0.5,smt,1,1_smt
3,"To clip overlay to the brush size, enable the Clipped option.","Chcete-li překrytí oříznout na velikost štětce, povolte možnost oříznuté.","Chcete-li oříznout překrytí na velikost štětce, povolte možnost Oříznuté.",[0.05562656372785568],"Chcete-li oříznout překrytí na velikost štětce, aktivujte volbu Oříznuto.",en-cs,0.3636363636363636,smt,1,1_smt
4,Right-click the Adobe Bridge icon in the system tray and choose Show Bridge to open the application.,Right-click ikonu Adobe Bridge na hlavním panelu a zvolte zobrazit Bridge aplikace.,Klepněte pravým tlačítkem myši na ikonu Adobe Bridge na hlavním systémovém panelu a vyberte možnost Zobrazit aplikaci Bridge. Tím se aplikace otevře.,[0.271207332611084],Klikněte pravým tlačítkem na ikonu Adobe Bridge na hlavním panelu a spusťte aplikaci výběrem možnosti Zobrazit Bridge.,en-cs,0.5,smt,1,1_smt
5,"In the Conditional Text panel, double-click a condition, or select a condition and choose Condition Options from the panel menu.","V panelu podmíněný text, double-click podmínku, nebo vyberte podmínku podmínka a zvolte volby z nabídky panelu.","V panelu Podmíněný text poklepejte na podmínku, nebo vyberte podmínku a zvolte Volby podmínek z nabídky panelu.",[0.15648873150348663],V panelu Podmíněný text dvakrát klikněte na podmínku nebo vyberte podmínku a zvolte možnost Nastavení podmínky z nabídky panelu.,en-cs,0.4,smt,1,1_smt
6,"When you use the Lasso tool and its Polygon Mode modifier, you can switch between the freehand and straight-edged selection modes.",Když použijete nástroj laso a jeho mnohoúhelníkový režim modifikátoru můžete přepínat mezi čáry od ruky straight-edged režimy výběru.,"Při použití nástroje laso s modifikátorem Mnohoúhelníkový režim můžete přepínat mezi dvěma režimy výběru: s hranicemi kreslenými od ruky, nebo s hranicemi tvořenými rovnými úseky.",[0.5282539129257202],Při použití nástroje Laso s modifikátorem Mnohoúhelníkový režim můžete přepínat mezi dvěma režimy výběru: s hranicemi kreslenými od ruky nebo s hranicemi rovných úseků.,en-cs,0.6538461538461539,smt,1,1_smt
7,You can embed an audit trail only if you used a profile to run the preflight inspection.,"Můžete vložit audit pouze v případě, že jste použít profil, který se má spustit kontrolu před výstupem.","Protokol auditu lze vložit, pouze pokud jste kontrolu před výstupem spustili pomocí profilu.",[0.5237386226654053],"Můžete vložit stopu auditu pouze v případě, že jste ke spuštění předvýstupní kontroly použili profil.",en-cs,0.7058823529411765,smt,1,1_smt
8,This interface defines the common functionality that the FilterWorkbenchController class uses to interact with the individual filter factory classes.,"Toto rozhraní definuje třída FilterWorkbenchController společné funkčnosti, která používá pro interakci s jednotlivými třídy rodiny filtru.","Toto rozhranní definuje společné funkce, které třída FilterWorkbenchController používá pro interakci s jednotlivými třídami rodiny filtrů.",[0.24128633737564087],"Toto rozhraní definuje společné funkce, které používá třída FilterWorkbenchController k interakci s jednotlivými třídami továrny filtrů.",en-cs,0.3888888888888889,smt,1,1_smt
9,(Optional) Specify render options:,(Volitelně) určete vykreslovat volby:,(Volitelně) Určete volby vykreslení:,[0.12866510450839996],(Volitelně) Určete volby vykreslování:,en-cs,0.2857142857142857,smt,1,1_smt
10,"In ActionScript 1.0, for example, the class keyword did not exist, so “classes” were defined by constructor functions.","V jazyce ActionScript 1.0, například klíčové slovo class, takže neexistovaly „tříd“ byly definovány funkce konstruktoru.","V jazyce ActionScript 1.0 klíčové slovo class neexistovalo, takže „třídy“ byly definovány funkcemi konstruktoru.",[0.4163954555988312],"Například v jazyce ActionScript 1.0 neeexistuje klíčové slovo třídy, takže „třídy“ byly definovány funkcemi konstruktoru.",en-cs,0.3157894736842105,smt,1,1_smt
