index,src,mt,ref,dp_runs_scores,pe,lp,human_score,system,doc_id,sys_doc_id
0,"Expand the WAR file in your working directory, using the following command:",Dekomprimieren Sie die WAR-Datei im Arbeitsverzeichnis mit dem folgenden Befehl:,"Dekomprimieren Sie die WAR-Datei im Arbeitsverzeichnis, indem Sie folgenden Befehl eingeben:",[0.01742611639201641],Dekomprimieren Sie die WAR-Datei im Arbeitsverzeichnis mit dem folgenden Befehl:,en-de,0.0,nmt,1,1_nmt
1,You cannot use the BitmapData.draw () method to access RTMP video.,Zum Zugriff auf RTMP-Video kann die Methode BitmapData.draw () nicht verwendet werden.,Mit der BitmapData.draw () -Methode können Sie nicht auf RTMP-Video zugreifen.,[0.031445469707250595],Zum Zugriff auf RTMP-Video kann die Methode BitmapData.draw () nicht verwendet werden.,en-de,0.0,nmt,1,1_nmt
2,"The line in the preview window defines the light direction and angle, and the handles define the edges of the ellipse.",Die Linie im Vorschaufenster definiert die Richtung und den Winkel der Lichtquelle und die Griffe definieren die Kanten der Ellipse.,"Die Linie im Vorschaufenster definiert Lichtrichtung und -winkel, die Griffe definieren die Kanten der Ellipse.",[0.027940863743424416],"Die Linie im Vorschaufenster definiert die Richtung und den Winkel der Lichtquelle, und die Griffe definieren die Kanten der Ellipse.",en-de,0.0454545454545454,nmt,1,1_nmt
3,"For more information, see Edit a web page or blog from your browser.",Weitere Informationen finden Sie unter Bearbeiten von Webseiten oder Blogs im Browser.,Weitere Informationen finden Sie unter Bearbeiten von Webseiten oder Blogeinträgen vom Browser aus.,[0.05465514957904816],"Weitere Informationen finden Sie unter ""Bearbeiten von Webseiten oder Blogs im Browser"".",en-de,0.1333333333333333,nmt,1,1_nmt
4,Select a keyframe in the timeline.,Wählen Sie in der Zeitleiste ein Schlüsselbild aus.,Wählen Sie in der Zeitleiste ein Schlüsselbild aus.,[0.008822886273264885],Wählen Sie in der Zeitleiste ein Schlüsselbild aus.,en-de,0.0,nmt,1,1_nmt
5,"When you publish your draft (the blog entry where you inserted the link), Contribute also publishes the new blog entry.","Wenn Sie den Entwurf veröffentlichen (der Blogeintrag, in dem Sie den Hyperlink eingefügt haben), veröffentlicht Contribute den neuen Blogeintrag auch.","Wenn Sie den Entwurf veröffentlichen (den Blogeintrag, in den Sie den Hyperlink eingefügt haben), veröffentlicht Contribute auch den neuen Blogeintrag.",[0.026326540857553482],"Wenn Sie den Entwurf veröffentlichen (der Blogeintrag, in den Sie den Hyperlink eingefügt haben), veröffentlicht Contribute den neuen Blogeintrag auch.",en-de,0.04,nmt,1,1_nmt
6,Attributes provide metadata information about an element.,Attribute enthalten Metadaten zu einem Element.,Attribute speichern Metadateninformationen zu Elementen.,[0.06135052070021629],Attribute enthalten Metadaten zu einem Element.,en-de,0.0,nmt,1,1_nmt
7,Click the Add a Layer Style icon at the bottom of the Layers panel and choose an effect from the list.,"Klicken Sie am unteren Rand des Ebenenbedienfelds auf das Symbol ""Ebenenstil hinzufügen"" und wählen Sie einen Effekt aus der Liste aus.","Klicken Sie unten im Ebenenbedienfeld auf das Symbol ""Ebenenstil hinzufügen"" und wählen Sie einen Effekt aus der Liste.",[0.011012183502316475],"Klicken Sie am unteren Rand des Ebenenbedienfelds auf das Symbol ""Ebenenstil hinzufügen"" und wählen Sie einen Effekt aus der Liste aus.",en-de,0.0,nmt,1,1_nmt
8,"To temporarily override switching, hold down Shift as you position the Pen tool over the selected path or an anchor point.","Wenn Sie die Änderungen vorübergehend außer Kraft setzen möchten, halten Sie die Umschalttaste gedrückt, während Sie das Stiftwerkzeug über dem ausgewählten Pfad oder Ankerpunkt positionieren.","Wenn Sie die Umschaltung vorübergehend außer Kraft setzen möchten, halten Sie die Umschalttaste gedrückt, während Sie das Zeichenstift-Werkzeug über dem ausgewählten Pfad oder einem Ankerpunkt positionieren.",[0.015434445813298225],"Wenn Sie die Änderungen vorübergehend außer Kraft setzen möchten, halten Sie die Umschalttaste gedrückt, während Sie das Stiftwerkzeug über dem ausgewählten Pfad oder Ankerpunkt positionieren.",en-de,0.0,nmt,1,1_nmt
9,"An array of key-value pairs that represent the information in the ""ilst"" atom, which is the equivalent of ID3 tags for MP4 files.","Ein Array mit Schlüssel-Wert-Paaren, die die Informationen im ""pc-"" Atom"" darstellen. Dies entspricht den ID3-Tags für MP4-Dateien.","Ein Array von Schlüssel-Wert-Paaren, die die Informationen im ""ilst""-Atom darstellen (entspricht bei MP4-Dateien den ID3-Tags).",[0.09028764814138412],"Ein Array mit Schlüssel-Wert-Paaren, die die Informationen im ""ilst"" Atom darstellen. Dies entspricht den ID3-Tags für MP4-Dateien.",en-de,0.0909090909090909,nmt,1,1_nmt
10,Specify transition styles and speed.,Legen Sie die Übergangseformate und die Geschwindigkeit fest.,In diesem Bereich können Sie die Stile und die Geschwindigkeit von Übergängen festlegen.,[0.1150798425078392],Legen Sie die Übergangsformate und -geschwindigkeit fest.,en-de,0.375,nmt,1,1_nmt
11,"Draws without lighting, instead displaying only the selected Texture option.","Zeichnet ohne Beleuchtung, sondern nur die ausgewählte Texturoption.",Objekte werden ohne Beleuchtung gezeichnet. Es wird nur die ausgewählte Texturoption angezeigt.,[0.08621721714735031],"Zeichnet ohne Beleuchtung, es wird nur die ausgewählte Texturoption angezeigt.",en-de,0.25,nmt,1,1_nmt
12,Cineon and JPEG 2000 are supported if the plug‑ins are installed.,"Cineon und JPEG 2000 werden unterstützt, wenn Zusatzmodule installiert sind.","Cineon und JPEG 2000 werden unterstützt, wenn die entsprechenden Zusatzmodule installiert sind.",[0.02738790586590767],"Cineon und JPEG 2000 werden unterstützt, wenn die entsprechenden Zusatzmodule installiert sind.",en-de,0.1428571428571428,nmt,1,1_nmt
13,"You can apply multiple filters, turn on or off the effect of a filter, reset options for a filter, and change the order in which filters are applied.","Sie können mehrere Filter anwenden, den Effekt eines Filters aktivieren oder deaktivieren, Optionen für einen Filter zurücksetzen und die Reihenfolge ändern, in der Filter angewendet werden.","Sie können mehrere Filter anwenden, den Effekt eines Filters aktivieren oder deaktivieren, die Optionen für einen Filter zurückzusetzen und die Reihenfolge, in der die Filter angewendet werden, ändern.",[0.018841378390789032],"Sie können mehrere Filter anwenden, den Effekt eines Filters aktivieren oder deaktivieren, Optionen für einen Filter zurücksetzen und die Reihenfolge ändern, in der Filter angewendet werden.",en-de,0.0,nmt,1,1_nmt
14,Click Repair All.,"Klicken Sie auf ""Alle reparieren.""","Klicken Sie auf ""Alle reparieren.""",[0.01208045706152916],"Klicken Sie auf ""Alle reparieren"".",en-de,0.0,nmt,1,1_nmt
15,The sizing behavior of the UILoader component is controlled by the scaleContent property.,Das Größenanpassungsverhalten der UILoader-Komponente wird über die Eigenschaft scaleInhalt gesteuert.,Das Größenverhalten der UILoader-Komponente wird von der Eigenschaft scaleContent gesteuert.,[0.02504134364426136],Das Größenanpassungsverhalten der UILoader-Komponente wird über die Eigenschaft scaleContent gesteuert.,en-de,0.0909090909090909,nmt,1,1_nmt
16,"From the options menu in the Comments list, choose Export Selected Comments.","Wählen Sie in der Kommentarliste im Menü ""Optionen"" den Befehl ""Ausgewählte Kommentare exportieren.""","Wählen Sie im Menü ""Optionen"" in der Kommentarliste den Befehl ""Ausgewählte Kommentare exportieren.""",[0.010035996325314045],"Wählen Sie in der Kommentarliste im Menü ""Optionen"" den Befehl ""Ausgewählte Kommentare exportieren"".",en-de,0.0,nmt,1,1_nmt
17,ActionScript 2.0 has an Error class that allows you to build logic into custom functions to throw an exception with a specific message.,"ActionScript 2.0 verfügt über eine Error-Klasse, mit der Sie Code in benutzerdefinierte Funktionen erstellen können, um eine Ausnahme in eine bestimmte Meldung zu erzeugen.","ActionScript 2.0 verfügt über eine Error-Klasse, mit der Sie entsprechende Programmlogik als benutzerdefinierte Funktionen erstellen können, die Ausnahmen mit einer speziellen Meldung auslösen.",[0.16594372689723969],"ActionScript 2.0 verfügt über eine Error-Klasse, mit der Sie Programmlogik als benutzerdefinierte Funktionen erstellen können, um eine Ausnahme mit einer bestimmten Meldung zu erzeugen.",en-de,0.1851851851851851,nmt,1,1_nmt
18,Choose Paragraph Rules from the Paragraph panel menu or Control panel menu.,"Wählen Sie im Menü des Absatzbedienfelds oder des Steuerungsbedienfelds die Option ""Absatzegeln.""","Wählen Sie im Menü des Zeichenbedienfelds oder des Steuerungsbedienfelds die Option ""Absatzlinien.""",[0.02543729357421398],"Wählen Sie im Menü des Absatzbedienfelds oder des Steuerungsbedienfelds die Option ""Absatzegeln"".",en-de,0.0,nmt,1,1_nmt
19,Close and reopen Contribute after creating a blog using the blog publishing service.,"Schließen Sie Contribute und öffnen Sie es erneut, nachdem Sie ein Blog mit dem Blog-Veröffentlichungsdienst erstellt haben.","Nachdem Sie ein Blog mit dem Blogveröffentlichungsdienst erstellt haben, müssen Sie Contribute beenden und neu starten.",[0.059842366725206375],"Schließen Sie Contribute und öffnen Sie es erneut, nachdem Sie ein Blog mit dem Blog-Veröffentlichungsdienst erstellt haben.",en-de,0.0,nmt,1,1_nmt
20,"To set the width and height of the bevel, set the Blur X and Y values.","Stellen Sie Werte für ""Weichzeichnen X"" und ""Weichzeichnen Y"" ein, um Breite und Höhe der geschliffenen Kante festzulegen.","Stellen Sie Werte für ""Weichzeichnen X"" und ""Weichzeichnen Y"" ein, um die Breite und Höhe des Filters ""Geschliffen"" einzustellen.",[0.025092914700508118],"Stellen Sie Werte für ""Weichzeichnen X"" und ""Weichzeichnen Y"" ein, um Breite und Höhe des Filters ""Geschliffen"" festzulegen.",en-de,0.1923076923076923,nmt,1,1_nmt
21,Click the Fill or Stroke box in the Swatches panel or the Toolbox.,"Klicken Sie im Farbfeldbedienfeld oder in der Toolbox auf das Feld ""Fläche"" oder ""Kontur"".","Klicken Sie im Farbfeldbedienfeld oder in der Toolbox auf das Feld ""Fläche"" oder ""Kontur.""",[0.00973991584032774],"Klicken Sie im Farbfeldbedienfeld oder in der Toolbox auf das Feld ""Fläche"" oder ""Kontur"".",en-de,0.0,nmt,1,1_nmt
22,"Select the Adobe InDesign document or documents you want to add, and then click Open.","Wählen Sie das Adobe InDesign-Dokument oder die Dokumente aus, die bzw. das Sie hinzufügen möchten, und klicken Sie auf ""Öffnen.""","Wählen Sie das bzw. die Adobe InDesign-Dokumente aus, die Sie hinzufügen möchten, und klicken Sie auf ""Öffnen.""",[0.02072725258767605],"Wählen Sie die Adobe InDesign-Dokumente aus, die Sie hinzufügen möchten, und klicken Sie auf ""Öffnen"".",en-de,0.35,nmt,1,1_nmt
23,"In addition, you can set the page alignment and specify a repeating background image.",Außerdem können Sie die Ausrichtung der Seite festlegen und ein sich wiederholendes Hintergrundbild festlegen.,Darüber hinaus können Sie die Seitenausrichtung festlegen und ein wiederholendes Hintergrundbild angeben.,[0.02224764972925186],Außerdem können Sie die Ausrichtung der Seite festlegen und ein sich wiederholendes Hintergrundbild festlegen.,en-de,0.0,nmt,1,1_nmt
24,"In the Layers panel, select the layers you want for the animation, and choose Make Frames From Layers from the Animation panel menu.","Wählen Sie im Ebenenbedienfeld die gewünschten Ebenen für die Animation aus und wählen Sie im Menü des Animationsbedienfelds die Option ""Frames aus Ebenen erstellen.""","Wählen Sie im Ebenenbedienfeld die gewünschten Ebenen für die Animation aus und wählen Sie im Menü des Animationsbedienfelds die Option ""Frames aus Ebenen erstellen.""",[0.010432850569486618],"Wählen Sie im Ebenenbedienfeld die gewünschten Ebenen für die Animation aus und wählen Sie im Menü des Animationsbedienfelds die Option ""Frames aus Ebenen erstellen"".",en-de,0.0,nmt,1,1_nmt
25,n. Works with the debug version of Flash player to check code for ActionScript syntax and logical errors.,"n. Funktioniert mit der Debug-Version von Flash Player, um Code für die ActionScript-Syntax und die logischen Fehler zu überprüfen.","n. Arbeitet zusammen mit der Debug-Version des Flash-Players, um den ActionScript-Code auf Syntax- und Logikfehler zu überprüfen.",[0.1314241737127304],"n. Funktioniert mit der Debug-Version von Flash Player, um Code für die ActionScript-Syntax und die logischen Fehler zu überprüfen.",en-de,0.0,nmt,1,1_nmt
