index,src,mt,ref,dp_runs_scores,pe,lp,human_score,system,doc_id,sys_doc_id
0,"Injizieren Sie nicht die doppelte Dosis, um eine vergessene Einzeldosis nachzuholen.",Do not inject a double dose to make up for a forgotten individual dose.,Do not inject a double dose to make up for a forgotten individual dose.,"[0.01731513999402523, 0.014919953420758247, 0.015196004882454872, 0.022314809262752533, 0.01798071898519993, 0.02380278706550598, 0.015124903060495853, 0.02390977554023266, 0.020999964326620102, 0.02348555251955986, 0.013992687687277794, 0.018594153225421906, 0.01555872242897749, 0.02376459538936615, 0.02195957861840725, 0.017193589359521866, 0.024213073775172234, 0.018018657341599464, 0.02361125312745571, 0.017644133418798447, 0.0205515306442976, 0.02428635209798813, 0.017135856673121452, 0.03163652494549751, 0.015233264304697514, 0.02450699359178543, 0.02372008003294468, 0.017708027735352516, 0.02344190701842308, 0.01560762245208025, 0.01880488358438015, 0.016039039939641953, 0.01837611384689808, 0.016504213213920593, 0.01526155136525631, 0.04368435963988304, 0.020680643618106842, 0.015186781994998455, 0.033522315323352814, 0.02296416461467743, 0.02512287348508835, 0.0395205020904541, 0.016913026571273804, 0.021071109920740128, 0.01178863737732172, 0.02328394167125225, 0.021013030782341957, 0.01489897258579731, 0.01913239248096943, 0.019109394401311874, 0.017570707947015762, 0.015148838050663471, 0.01814582757651806, 0.01810748502612114, 0.02375052310526371, 0.024103952571749687, 0.021410983055830002, 0.018231360241770744, 0.018272271379828453, 0.025535622611641884, 0.015740588307380676, 0.018889864906668663, 0.025565844029188156, 0.02177249640226364, 0.01893574558198452, 0.016331614926457405, 0.018560266122221947, 0.016299059614539146, 0.019287873059511185, 0.017093032598495483, 0.03358285129070282, 0.0267671886831522, 0.025108421221375465, 0.029601657763123512, 0.02212713100016117, 0.03153323382139206, 0.02011869288980961, 0.01674562133848667, 0.012193880043923855, 0.017302608117461205, 0.028025934472680092, 0.02693338133394718, 0.028942476958036423, 0.017157375812530518, 0.02377898618578911, 0.02083336003124714, 0.021935055032372475, 0.028095196932554245, 0.022527212277054787, 0.025511186569929123, 0.025371799245476723, 0.0171520933508873, 0.015584651380777359, 0.020351078361272812, 0.020523780956864357, 0.02023104764521122, 0.02238970249891281, 0.029936213046312332, 0.022192908450961113, 0.026789549738168716]",Do not inject a double dose to make up for a forgotten individual dose.,de-en,0.0,smt,1,1_smt
1,Zwischen der 15- und 30-mg-Dosis Lansoprazol konnte kein klinisch bedeutsamer Unterschied hinsichtlich der Vorbeugung von Ulcera nachgewiesen werden.,"Between the 15 and 30 mg dose of lansoprazole, there was no clinically significant differences in prevention of gastric ulceration associated with the vaccine has not been established.",No clinically relevant difference in ulcer prevention between the 15 and 30 mg dose of lansoprazole could be demonstrated.,"[0.17483897507190704, 0.20211133360862732, 0.22168968617916107, 0.2043159008026123, 0.2146468162536621, 0.23108486831188202, 0.17766542732715607, 0.23269468545913696, 0.20652835071086884, 0.22349190711975098, 0.21730098128318787, 0.19735221564769745, 0.19019824266433716, 0.178566113114357, 0.1673135906457901, 0.25795847177505493, 0.21122175455093384, 0.20145350694656372, 0.2032817155122757, 0.20646929740905762, 0.18282288312911987, 0.20020976662635803, 0.25036001205444336, 0.18940672278404236, 0.19899000227451324, 0.20899170637130737, 0.18377956748008728, 0.2101999670267105, 0.215427428483963, 0.2735311686992645, 0.21954497694969177, 0.23755928874015808, 0.1762639731168747, 0.18129125237464905, 0.20287469029426575, 0.20659556984901428, 0.17669202387332916, 0.17967595160007477, 0.20981360971927643, 0.16972759366035461, 0.23698554933071136, 0.21645312011241913, 0.1749366670846939, 0.22352397441864014, 0.21871642768383026, 0.1781185418367386, 0.195966437458992, 0.23123252391815186, 0.20909558236598969, 0.20855273306369781, 0.19455581903457642, 0.18425805866718292, 0.22877518832683563, 0.18393711745738983, 0.17709431052207947, 0.23078489303588867, 0.17460377514362335, 0.22648131847381592, 0.18102721869945526, 0.18984320759773254, 0.21890050172805786, 0.1797381043434143, 0.20657171308994293, 0.21312281489372253, 0.18541917204856873, 0.20993287861347198, 0.20969615876674652, 0.19744464755058289, 0.17968805134296417, 0.20051690936088562, 0.1843727082014084, 0.2027968466281891, 0.25011029839515686, 0.2369721680879593, 0.22005155682563782, 0.17523495852947235, 0.16941890120506287, 0.21791639924049377, 0.205145463347435, 0.2097395360469818, 0.19615775346755981, 0.15691542625427246, 0.21895503997802734, 0.23369121551513672, 0.18280215561389923, 0.19107584655284882, 0.24325446784496307, 0.18822480738162994, 0.20850089192390442, 0.219532310962677, 0.21659132838249207, 0.19367145001888275, 0.2065734714269638, 0.26093029975891113, 0.2115967869758606, 0.1901671588420868, 0.203729510307312, 0.2034170776605606, 0.2337200939655304, 0.18626223504543304]","Between the 15 and 30 mg dose of lansoprazole, there was no clinically significant differences in prevention of gastric ulceration has been established.",de-en,0.2,smt,1,1_smt
2,Bei Schizophrenie beträgt die empfohlene Anfangsdosis zum Einnehmen 10 oder 15 mg pro Tag.,"In schizophrenia, the recommended starting dose is for oral use of 10 or 15 mg per day.","For schizophrenia, the recommended starting dose is 10 or 15 mg by mouth per day.","[0.021445024758577347, 0.02305007539689541, 0.021769525483250618, 0.03569679707288742, 0.021242694929242134, 0.01665259711444378, 0.02097945474088192, 0.025019275024533272, 0.01972072198987007, 0.02665357105433941, 0.022679010406136513, 0.028786439448595047, 0.021594619378447533, 0.026889897882938385, 0.025981301441788673, 0.025324612855911255, 0.022136298939585686, 0.03332085907459259, 0.0204780250787735, 0.025488082319498062, 0.021841326728463173, 0.023685941472649574, 0.022530045360326767, 0.03325377777218819, 0.02011861838400364, 0.02241366170346737, 0.023474618792533875, 0.025847965851426125, 0.020436933264136314, 0.02511286363005638, 0.023860648274421692, 0.024565991014242172, 0.022143252193927765, 0.02821776457130909, 0.024273239076137543, 0.033221758902072906, 0.021862497553229332, 0.020419005304574966, 0.03198724240064621, 0.02412272058427334, 0.030031200498342514, 0.03251536563038826, 0.01936628855764866, 0.017171531915664673, 0.02514309249818325, 0.022377148270606995, 0.02308662422001362, 0.025788409635424614, 0.02984093874692917, 0.03578229993581772, 0.021482430398464203, 0.021031003445386887, 0.02226363867521286, 0.021650919690728188, 0.03455507010221481, 0.030299639329314232, 0.023507170379161835, 0.022320102900266647, 0.026083193719387054, 0.02623230591416359, 0.018048767000436783, 0.030647847801446915, 0.03009428083896637, 0.02095354162156582, 0.027524182572960854, 0.03342629224061966, 0.02908821776509285, 0.030798008665442467, 0.021198224276304245, 0.03183552995324135, 0.01995728351175785, 0.03305624797940254, 0.024866478517651558, 0.03344453126192093, 0.027238722890615463, 0.032767947763204575, 0.02614503912627697, 0.017237283289432526, 0.02604396641254425, 0.016889844089746475, 0.031313784420490265, 0.03498605266213417, 0.03492402657866478, 0.020699476823210716, 0.033539559692144394, 0.02914726734161377, 0.027974624186754227, 0.02810387685894966, 0.017964527010917664, 0.024500826373696327, 0.024954602122306824, 0.022568807005882263, 0.01744762621819973, 0.01933887228369713, 0.016198579221963882, 0.023817583918571472, 0.020881209522485733, 0.028454501181840897, 0.025044387206435204, 0.0308707095682621]","For schizophrenia, the recommended starting dose is 10 or 15 mg by mouth per day.",de-en,0.3529411764705882,smt,1,1_smt
3,Actos 30 mg Tabletten.,Actos 30 mg tablets.,Actos 30 mg tablets.,"[0.02039164863526821, 0.015221736393868923, 0.013728626072406769, 0.017353778705000877, 0.029694413766264915, 0.015995502471923828, 0.029347162693738937, 0.03341720998287201, 0.023472841829061508, 0.021014949306845665, 0.015491796657443047, 0.031064987182617188, 0.015430666506290436, 0.013041415251791477, 0.013948796316981316, 0.030561981722712517, 0.023135187104344368, 0.04103716090321541, 0.018917258828878403, 0.01601274497807026, 0.011504581198096275, 0.021658798679709435, 0.012885060161352158, 0.01446449663490057, 0.020167866721749306, 0.019119707867503166, 0.02859519235789776, 0.029984230175614357, 0.014972733333706856, 0.024089151993393898, 0.026684539392590523, 0.016979053616523743, 0.019867947325110435, 0.014035522006452084, 0.03510637581348419, 0.016605384647846222, 0.024511586874723434, 0.018049316480755806, 0.021013634279370308, 0.02465154230594635, 0.019400792196393013, 0.027105053886771202, 0.020345939323306084, 0.019651498645544052, 0.02150445431470871, 0.015873493626713753, 0.01973404735326767, 0.01792401634156704, 0.02259315922856331, 0.018089216202497482, 0.021539609879255295, 0.01615656353533268, 0.01529389712959528, 0.013924957253038883, 0.021793335676193237, 0.015597939491271973, 0.016130495816469193, 0.01500771939754486, 0.014787865802645683, 0.017931664362549782, 0.024281170219182968, 0.024765683338046074, 0.021267982199788094, 0.020207000896334648, 0.019531631842255592, 0.015525943599641323, 0.01556721143424511, 0.015907734632492065, 0.020604830235242844, 0.020711207762360573, 0.02239317260682583, 0.01682399958372116, 0.01633019745349884, 0.01787390001118183, 0.0221055056899786, 0.030837126076221466, 0.015299886465072632, 0.015422111377120018, 0.02374604158103466, 0.01546881627291441, 0.014631089754402637, 0.02469262294471264, 0.01442349050194025, 0.024682067334651947, 0.0367438867688179, 0.020210444927215576, 0.018060319125652313, 0.026064878329634666, 0.017733441665768623, 0.022178813815116882, 0.018792103976011276, 0.018093714490532875, 0.020733827725052834, 0.024518098682165146, 0.04979025200009346, 0.015467219054698944, 0.013878311030566692, 0.01914452761411667, 0.020878784358501434, 0.02982720546424389]",Actos 30 mg tablets.,de-en,0.0,smt,1,1_smt
4,"Tritanrix HepB und einem Hib-haltigen Impfstoff untersucht: An zwei dieser Studien nahmen insgesamt 1 208 Säuglinge teil, die im Alter von zwei, vier und sechs Monaten geimpft wurden.","Tritanrix HepB and Hib-haltigen vaccine been studied: Two of these studies involved a total of 208 infants who were exposed to two, four, and six months of age.","au The effects of Quintanrix have been studied in five main studies involving over 2,000 infants.","[0.21260495483875275, 0.19422897696495056, 0.21686528623104095, 0.2093266099691391, 0.2005416601896286, 0.20052164793014526, 0.19889959692955017, 0.23436783254146576, 0.2009473294019699, 0.20299570262432098, 0.23079535365104675, 0.25438618659973145, 0.20684124529361725, 0.20139771699905396, 0.19912248849868774, 0.20764830708503723, 0.21230119466781616, 0.20635229349136353, 0.21424897015094757, 0.21564136445522308, 0.2166123390197754, 0.21947573125362396, 0.23828478157520294, 0.23487325012683868, 0.2106761336326599, 0.18537229299545288, 0.22044113278388977, 0.21356059610843658, 0.24817514419555664, 0.18758921325206757, 0.23147450387477875, 0.22696322202682495, 0.22782570123672485, 0.1879585236310959, 0.2437848597764969, 0.22902043163776398, 0.1977415531873703, 0.23727557063102722, 0.22671334445476532, 0.21380135416984558, 0.19264553487300873, 0.24994634091854095, 0.18073314428329468, 0.23982082307338715, 0.225326806306839, 0.1732068657875061, 0.21649330854415894, 0.22483697533607483, 0.2658017873764038, 0.22426463663578033, 0.23901671171188354, 0.19577854871749878, 0.22350572049617767, 0.19724038243293762, 0.1941649168729782, 0.20360738039016724, 0.19460491836071014, 0.1807609349489212, 0.1966429501771927, 0.2273450791835785, 0.24888089299201965, 0.20846951007843018, 0.1934792548418045, 0.21970818936824799, 0.1906604766845703, 0.2211231142282486, 0.20855501294136047, 0.1970643401145935, 0.22243663668632507, 0.23656430840492249, 0.216323584318161, 0.25072622299194336, 0.21185655891895294, 0.18719205260276794, 0.2281876504421234, 0.21839727461338043, 0.17682869732379913, 0.22366419434547424, 0.26033854484558105, 0.22280238568782806, 0.20516188442707062, 0.21677015721797943, 0.18458712100982666, 0.1813439130783081, 0.23875436186790466, 0.17937584221363068, 0.22291511297225952, 0.18282859027385712, 0.17414717376232147, 0.2269316464662552, 0.2403680384159088, 0.24796909093856812, 0.2061396688222885, 0.23111701011657715, 0.2429581731557846, 0.19020389020442963, 0.2042253315448761, 0.2324139028787613, 0.22267639636993408, 0.21509899199008942]","Tritanrix HepB and Hib-haltigen vaccine been studied: Two of these studies involved a total of 208 infants who were vaccinated at two, four, and six months of age.",de-en,0.0625,smt,1,1_smt
5,Diese Gebrauchsinformation wurde zuletzt genehmigt im [ist national auzufüllen].,This leaflet was last approved in [To be auzufüllen].,This leaflet was last approved in [To be completed nationally].,"[0.1189853623509407, 0.12263628095388412, 0.14787304401397705, 0.1210281178355217, 0.1382979452610016, 0.14573559165000916, 0.10579442977905273, 0.09145133197307587, 0.15503913164138794, 0.10263455659151077, 0.12636017799377441, 0.172902449965477, 0.12653569877147675, 0.12005195021629333, 0.13445186614990234, 0.12840597331523895, 0.133346289396286, 0.1498158574104309, 0.11948410421609879, 0.1351737231016159, 0.12050684541463852, 0.174273282289505, 0.14090877771377563, 0.09082470834255219, 0.12345659732818604, 0.1648149937391281, 0.13355040550231934, 0.14481878280639648, 0.1081443578004837, 0.12668229639530182, 0.13275444507598877, 0.16445210576057434, 0.17076706886291504, 0.140963613986969, 0.16266992688179016, 0.1537337750196457, 0.11576943844556808, 0.11074481904506683, 0.11471137404441833, 0.11794576048851013, 0.13675913214683533, 0.13175129890441895, 0.14452263712882996, 0.12391919642686844, 0.1125173568725586, 0.15762721002101898, 0.13480177521705627, 0.15112341940402985, 0.11837223172187805, 0.17092667520046234, 0.12348859757184982, 0.12469711154699326, 0.11062894761562347, 0.13827583193778992, 0.11142794042825699, 0.1609286367893219, 0.14263787865638733, 0.12593087553977966, 0.10897048562765121, 0.1295933723449707, 0.1325826644897461, 0.10934967547655106, 0.10549250990152359, 0.12445046007633209, 0.14276573061943054, 0.12488297373056412, 0.11634297668933868, 0.13726916909217834, 0.13297490775585175, 0.16123805940151215, 0.09565942734479904, 0.10669436305761337, 0.1359492540359497, 0.14940589666366577, 0.12783047556877136, 0.11905767768621445, 0.11224181950092316, 0.13952162861824036, 0.12679536640644073, 0.1663993000984192, 0.13440343737602234, 0.1382075697183609, 0.1105462908744812, 0.11303834617137909, 0.1589943766593933, 0.1357584148645401, 0.14321941137313843, 0.11470261961221695, 0.15882869064807892, 0.1678404062986374, 0.12289877235889435, 0.16194000840187073, 0.13333651423454285, 0.16833674907684326, 0.13629016280174255, 0.11517287790775299, 0.13486582040786743, 0.11791559308767319, 0.134316548705101, 0.1323053240776062]",This leaflet was last approved in [To be filled out].,de-en,0.1538461538461538,smt,1,1_smt
6,Der Name Ihres Arzneimittels ist EVRA transdermales Pflaster.,The name of your medicine is EVRA transdermal patch.,The name of your medicine is EVRA transdermal patch.,"[0.021678399294614792, 0.02398654818534851, 0.0161893330514431, 0.015093625523149967, 0.02204563096165657, 0.02467571571469307, 0.017090314999222755, 0.018985526636242867, 0.03258751332759857, 0.02178926020860672, 0.021889224648475647, 0.019741510972380638, 0.03849855437874794, 0.02026870846748352, 0.021295927464962006, 0.02705647051334381, 0.01880222000181675, 0.019507193937897682, 0.01695273071527481, 0.022849075496196747, 0.018841281533241272, 0.0254707932472229, 0.019314449280500412, 0.02301815152168274, 0.01834646612405777, 0.020587988197803497, 0.023908445611596107, 0.01802918128669262, 0.014336969703435898, 0.023503795266151428, 0.021416964009404182, 0.01872161030769348, 0.020306529477238655, 0.024634750559926033, 0.021196255460381508, 0.014857129193842411, 0.0250166617333889, 0.014952078461647034, 0.016287527978420258, 0.0308094322681427, 0.020299069583415985, 0.018622908741235733, 0.020476825535297394, 0.028906745836138725, 0.020845381543040276, 0.01571502536535263, 0.02728401869535446, 0.020850010216236115, 0.036656253039836884, 0.017888663336634636, 0.031011691316962242, 0.021738165989518166, 0.01664304919540882, 0.017259471118450165, 0.03154490143060684, 0.02478088065981865, 0.01859895884990692, 0.026233935728669167, 0.026726070791482925, 0.019027959555387497, 0.01499743852764368, 0.017994975671172142, 0.02609887160360813, 0.016586285084486008, 0.016307923942804337, 0.025612274184823036, 0.021429209038615227, 0.012319118715822697, 0.017580902203917503, 0.022520754486322403, 0.024587400257587433, 0.022557754069566727, 0.02346513792872429, 0.01762792468070984, 0.013830465264618397, 0.019481945782899857, 0.02233327366411686, 0.015652669593691826, 0.019435053691267967, 0.02370351552963257, 0.02253858372569084, 0.028049271553754807, 0.02249702252447605, 0.018687965348362923, 0.02515326999127865, 0.015119939111173153, 0.01640481688082218, 0.02130984328687191, 0.018646134063601494, 0.024565327912569046, 0.017804056406021118, 0.01808554120361805, 0.015984617173671722, 0.015946965664625168, 0.015310609713196754, 0.01614310033619404, 0.022723251953721046, 0.023799829185009003, 0.024740539491176605, 0.01699252612888813]",The name of your medicine is EVRA transdermal patch.,de-en,0.0,smt,1,1_smt
7,"Es ist nicht bekannt, ob Telbivudin beim Menschen in die Muttermilch übergeht.",It is not known whether telbivudine in humans is excreted in human milk.,It is not known whether telbivudine is excreted in human milk.,"[0.028604287654161453, 0.03315592557191849, 0.0369507260620594, 0.025881770998239517, 0.042483460158109665, 0.037685927003622055, 0.037826698273420334, 0.0348580926656723, 0.04440834000706673, 0.03935142606496811, 0.02252323180437088, 0.03311482071876526, 0.053591445088386536, 0.034171316772699356, 0.024343470111489296, 0.049274202436208725, 0.02565954625606537, 0.0324343703687191, 0.028796223923563957, 0.03678483888506889, 0.020010514184832573, 0.03544221818447113, 0.03860372677445412, 0.03397625312209129, 0.029407039284706116, 0.0426974892616272, 0.03120367042720318, 0.04279650002717972, 0.04660759121179581, 0.03287447243928909, 0.035089265555143356, 0.03248770162463188, 0.031041866168379784, 0.06836594641208649, 0.04131268337368965, 0.04178156331181526, 0.01926620863378048, 0.03808053582906723, 0.044733088463544846, 0.027392536401748657, 0.03301365673542023, 0.03419540077447891, 0.03534448519349098, 0.045087557286024094, 0.0381154902279377, 0.027791539207100868, 0.0424644760787487, 0.029568986967206, 0.03057735413312912, 0.024545399472117424, 0.01985253021121025, 0.026673290878534317, 0.026230880990624428, 0.03299098089337349, 0.039659082889556885, 0.03830072656273842, 0.03909844160079956, 0.03241659328341484, 0.028547124937176704, 0.047490041702985764, 0.03913846239447594, 0.03280745446681976, 0.06563835591077805, 0.030854452401399612, 0.02481810189783573, 0.03193996474146843, 0.02161356993019581, 0.029773341491818428, 0.02613762393593788, 0.06440778076648712, 0.03521311655640602, 0.046971626579761505, 0.03671198710799217, 0.03340025991201401, 0.04106806218624115, 0.027437277138233185, 0.030966727063059807, 0.026841748505830765, 0.047611597925424576, 0.02379753068089485, 0.02658160589635372, 0.043393947184085846, 0.021731600165367126, 0.03973431885242462, 0.042502522468566895, 0.022529320791363716, 0.0268027875572443, 0.029018951579928398, 0.02576628513634205, 0.03912554308772087, 0.04294769465923309, 0.03425467759370804, 0.028524111956357956, 0.03833247721195221, 0.03355313464999199, 0.03179701790213585, 0.05766109377145767, 0.036620184779167175, 0.019753234460949898, 0.02654348313808441]",It is not known whether telbivudine in humans is excreted in human milk.,de-en,0.0,smt,1,1_smt
8,Eine Filmtablette enthält 20 mg Rimonabant.,Each film-coated tablet contains 20 mg of rimonabant.,One film-coated tablet contains 20 mg rimonabant.,"[0.012102381326258183, 0.014923540875315666, 0.01545325480401516, 0.011885820887982845, 0.017464529722929, 0.01653003692626953, 0.011685320176184177, 0.016891054809093475, 0.012587277218699455, 0.015755977481603622, 0.01117413118481636, 0.011835423298180103, 0.017030712217092514, 0.012674391269683838, 0.013430491089820862, 0.020861966535449028, 0.013723565265536308, 0.012976101599633694, 0.01487776730209589, 0.02603192627429962, 0.014123169705271721, 0.018782595172524452, 0.010835852473974228, 0.020748842507600784, 0.009955416433513165, 0.019972477108240128, 0.020380651578307152, 0.018010318279266357, 0.010278264991939068, 0.015571925789117813, 0.012199602089822292, 0.0139921298250556, 0.014279652386903763, 0.02474980801343918, 0.016667213290929794, 0.012702712789177895, 0.016033103689551353, 0.012872300110757351, 0.018070850521326065, 0.015491155907511711, 0.012589382007718086, 0.017106086015701294, 0.013702276162803173, 0.01552190538495779, 0.013463649898767471, 0.0184814240783453, 0.02432214841246605, 0.016802875325083733, 0.010825196281075478, 0.011826309375464916, 0.01657499559223652, 0.01758652739226818, 0.01230541616678238, 0.013067709282040596, 0.011405273340642452, 0.013958335854113102, 0.014984904788434505, 0.0161728598177433, 0.017010191455483437, 0.015295728109776974, 0.01563984714448452, 0.0108816958963871, 0.02199903130531311, 0.013787231408059597, 0.01281565148383379, 0.017337117344141006, 0.015899555757641792, 0.013145213015377522, 0.011488826014101505, 0.020274830982089043, 0.01346558891236782, 0.016080625355243683, 0.016478782519698143, 0.01337409857660532, 0.014375193044543266, 0.01317642629146576, 0.025459883734583855, 0.01656009629368782, 0.012818347662687302, 0.014681799337267876, 0.015202093869447708, 0.01950020156800747, 0.011389647610485554, 0.012975025922060013, 0.011936957947909832, 0.009339195676147938, 0.013313083909451962, 0.01307778712362051, 0.01982944831252098, 0.010156696662306786, 0.015453582629561424, 0.01293095014989376, 0.015374203212559223, 0.01651400700211525, 0.01666027493774891, 0.016921741887927055, 0.01138533279299736, 0.014110594056546688, 0.014969006180763245, 0.011224559508264065]",Each film-coated tablet contains 20 mg of rimonabant.,de-en,0.0,smt,1,1_smt
9,"Daher sollte der Kliniker daran denken, dass eine Überdosierung in vielen Fällen eher Blutkonzentrationen hervorrufen wird, die innerhalb des therapeutischen Bereichs für die antimikrobielle Behandlung liegen, für die durch umfangreiches Datenmaterial die Unbedenklichkeit der Anwendung bereits gesichert ist.","Therefore, clinicians should bear in mind that overdose more likely to occur in many cases, may cause the blood concentrations are within therapeutic range for the antimicrobial treatment, the safety of the administration umfangreiches data have already been established.","Therefore clinicians should bear in mind that in many cases overdose is likely to produce blood concentrations of doxycycline within the therapeutic range for antimicrobial treatment, for which there is a large quantity of data supporting the safety of the medicinal product.","[0.36733850836753845, 0.3227227032184601, 0.3908446133136749, 0.3898220956325531, 0.3607756495475769, 0.41405490040779114, 0.4643928110599518, 0.37499693036079407, 0.34958234429359436, 0.36401546001434326, 0.34419122338294983, 0.36268705129623413, 0.3324739933013916, 0.42545467615127563, 0.3332850933074951, 0.37029772996902466, 0.38525986671447754, 0.3525412976741791, 0.34565725922584534, 0.35665321350097656, 0.367093563079834, 0.3911796510219574, 0.43176519870758057, 0.3380506634712219, 0.380195677280426, 0.3985117971897125, 0.32669326663017273, 0.3800044655799866, 0.3517323434352875, 0.3938309848308563, 0.35946956276893616, 0.3403453826904297, 0.35110554099082947, 0.419593870639801, 0.38042351603507996, 0.4384637475013733, 0.37685710191726685, 0.3639824688434601, 0.37284889817237854, 0.35088875889778137, 0.3268166482448578, 0.36087968945503235, 0.37290439009666443, 0.46416381001472473, 0.3630192279815674, 0.3652680814266205, 0.3887256383895874, 0.4170588254928589, 0.28579679131507874, 0.337195485830307, 0.378872811794281, 0.33916789293289185, 0.39039748907089233, 0.3538210690021515, 0.3597353994846344, 0.37319302558898926, 0.3649904727935791, 0.35440269112586975, 0.38591137528419495, 0.38565438985824585, 0.35575321316719055, 0.38315531611442566, 0.3618353307247162, 0.3718077540397644, 0.48993223905563354, 0.3280681371688843, 0.3671395778656006, 0.40659281611442566, 0.32181039452552795, 0.4408740699291229, 0.4148799180984497, 0.35438981652259827, 0.37001630663871765, 0.37038177251815796, 0.35695478320121765, 0.3459838330745697, 0.3086696267127991, 0.3551364243030548, 0.3789384663105011, 0.3452624976634979, 0.34219467639923096, 0.4341631233692169, 0.3956950902938843, 0.4421071410179138, 0.43413084745407104, 0.4226475954055786, 0.38226571679115295, 0.3267132043838501, 0.3490496277809143, 0.37829312682151794, 0.4298356771469116, 0.34712761640548706, 0.35308003425598145, 0.38164690136909485, 0.3144848346710205, 0.3755336403846741, 0.3616635203361511, 0.36399710178375244, 0.3384934961795807, 0.39977777004241943]","Therefore, clinicians should bear in mind that overdose are more likely to occur in many cases where the blood concentrations are within therapeutic range for the antimicrobial treatment and the safety of the administration has already been established by extensive data.",de-en,0.2325581395348837,smt,1,1_smt
